,date,open,high,low,close,volume,oi
32,2022-06-03 13:56:00+05:30,280,280,280,280,0,425
33,2022-06-03 13:58:00+05:30,280,280,280,280,0,425
34,2022-06-03 14:07:00+05:30,280,280,280,280,0,425
35,2022-06-03 14:23:00+05:30,280,280,280,280,0,425
36,2022-06-03 14:51:00+05:30,280,280,280,280,0,425
37,2022-06-20 15:24:00+05:30,120,120,120,120,0,425
38,2022-06-20 15:26:00+05:30,120,120,120,120,0,425
39,2022-06-20 15:27:00+05:30,120,120,120,120,0,425
40,2022-06-20 15:28:00+05:30,120,120,120,120,0,425
41,2022-06-22 13:47:00+05:30,110,110,110,110,0,850
42,2022-06-22 13:50:00+05:30,110,110,110,110,0,850
43,2022-06-22 13:51:00+05:30,110,110,110,110,0,850
44,2022-06-22 13:52:00+05:30,110,110,110,110,0,850
45,2022-06-22 13:53:00+05:30,110,110,110,110,0,850
46,2022-06-22 13:54:00+05:30,110,110,110,110,0,850
47,2022-06-22 13:55:00+05:30,110,110,110,110,0,850
48,2022-06-22 13:56:00+05:30,110,110,110,110,0,850
49,2022-06-22 13:57:00+05:30,110,110,110,110,0,850
50,2022-06-22 13:58:00+05:30,110,110,110,110,0,850
51,2022-06-22 13:59:00+05:30,110,110,110,110,0,850
52,2022-06-22 14:01:00+05:30,110,110,110,110,0,850
53,2022-06-22 14:02:00+05:30,110,110,110,110,0,850
54,2022-06-22 14:03:00+05:30,110,110,110,110,0,850
55,2022-06-22 14:04:00+05:30,110,110,110,110,0,850
56,2022-06-22 14:05:00+05:30,110,110,110,110,0,850
57,2022-06-22 14:06:00+05:30,110,110,110,110,0,850
58,2022-06-22 14:07:00+05:30,110,110,110,110,0,850
59,2022-06-22 14:08:00+05:30,110,110,110,110,0,850
60,2022-06-22 14:10:00+05:30,110,110,110,110,0,850
61,2022-06-22 14:11:00+05:30,110,110,110,110,0,850
62,2022-06-22 14:12:00+05:30,110,110,110,110,0,850
63,2022-06-22 14:13:00+05:30,110,110,110,110,0,850
64,2022-06-22 14:14:00+05:30,110,110,110,110,0,850
65,2022-06-22 14:15:00+05:30,110,110,110,110,0,850
66,2022-06-22 14:16:00+05:30,110,110,110,110,0,850
67,2022-06-22 14:17:00+05:30,110,110,110,110,0,850
68,2022-06-22 14:20:00+05:30,110,110,110,110,0,850
69,2022-06-22 14:21:00+05:30,110,110,110,110,0,850
70,2022-06-22 14:22:00+05:30,110,110,110,110,0,850
71,2022-06-22 14:25:00+05:30,110,110,110,110,0,850
72,2022-06-22 14:26:00+05:30,110,110,110,110,0,850
73,2022-06-22 14:31:00+05:30,110,110,110,110,0,850
74,2022-06-22 14:33:00+05:30,110,110,110,110,0,850
75,2022-06-22 14:34:00+05:30,110,110,110,110,0,850
76,2022-06-22 14:35:00+05:30,110,110,110,110,0,850
77,2022-06-22 14:36:00+05:30,110,110,110,110,0,850
