,date,open,high,low,close,volume,oi
25,2022-06-20 09:40:00+05:30,3092.35,3093.0,3089.3,3089.3,2100,1200000
26,2022-06-20 09:41:00+05:30,3089.3,3092.15,3089.3,3090.75,1800,1200750
27,2022-06-20 09:42:00+05:30,3090.75,3094.95,3090.75,3091.4,300,1200750
28,2022-06-20 09:43:00+05:30,3091.4,3091.4,3089.55,3089.8,15450,1200750
29,2022-06-20 09:44:00+05:30,3089.8,3090.3,3087.0,3087.0,1200,1211250
30,2022-06-20 09:45:00+05:30,3087.0,3087.0,3084.1,3085.9,750,1211250
31,2022-06-20 09:46:00+05:30,3085.9,3087.85,3085.9,3087.85,450,1211250
32,2022-06-20 09:47:00+05:30,3087.85,3090.15,3087.85,3090.0,1800,1210800
33,2022-06-20 09:48:00+05:30,3090.0,3090.0,3087.95,3087.95,450,1210800
34,2022-06-20 09:49:00+05:30,3087.95,3087.95,3087.95,3087.95,150,1210800
35,2022-06-20 09:50:00+05:30,3087.95,3093.75,3087.95,3092.5,3300,1207800
36,2022-06-20 09:51:00+05:30,3092.5,3093.85,3091.75,3093.85,750,1207800
37,2022-06-20 09:52:00+05:30,3093.85,3100.9,3093.85,3100.1,3000,1207800
38,2022-06-20 09:53:00+05:30,3101.5,3104.85,3101.0,3101.1,1800,1209150
39,2022-06-20 09:54:00+05:30,3101.1,3103.6,3100.25,3102.15,2100,1209150
40,2022-06-20 09:55:00+05:30,3102.15,3107.75,3102.15,3104.0,1800,1209150
41,2022-06-20 09:56:00+05:30,3104.0,3104.7,3102.2,3103.75,1500,1208100
42,2022-06-20 09:57:00+05:30,3103.75,3107.1,3103.75,3105.0,1350,1208100
43,2022-06-20 09:58:00+05:30,3105.0,3105.0,3103.55,3104.0,600,1208100
44,2022-06-20 09:59:00+05:30,3104.0,3108.0,3104.0,3108.0,4950,1209300
45,2022-06-20 10:00:00+05:30,3108.0,3108.95,3108.0,3108.2,450,1209300
46,2022-06-20 10:01:00+05:30,3108.2,3111.6,3107.1,3108.3,1950,1209300
47,2022-06-20 10:02:00+05:30,3108.3,3108.3,3107.0,3107.0,300,1209300
48,2022-06-20 10:03:00+05:30,3107.0,3108.45,3106.0,3106.0,1350,1210200
49,2022-06-20 10:04:00+05:30,3106.0,3106.0,3104.0,3104.25,1050,1210200
50,2022-06-20 10:05:00+05:30,3104.25,3104.55,3100.6,3100.6,450,1210500
51,2022-06-20 10:06:00+05:30,3100.6,3105.25,3100.6,3104.95,1200,1210500
52,2022-06-20 10:07:00+05:30,3104.95,3104.95,3104.0,3104.8,450,1210500
53,2022-06-20 10:08:00+05:30,3104.8,3105.9,3104.0,3104.0,1800,1210500
54,2022-06-20 10:09:00+05:30,3104.0,3105.55,3102.55,3103.15,450,1210500
55,2022-06-20 10:10:00+05:30,3103.15,3103.15,3098.3,3100.0,1650,1210500
56,2022-06-20 10:11:00+05:30,3100.0,3100.0,3096.6,3096.6,300,1210500
57,2022-06-20 10:12:00+05:30,3096.6,3096.6,3096.0,3096.0,450,1211700
