,datetime,open,high,low,close,volume,oi,vwap,best_bid,best_offer
0,2021-07-05 09:15:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
1,2021-07-05 09:16:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
2,2021-07-05 09:17:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
3,2021-07-05 09:18:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
4,2021-07-05 09:19:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
5,2021-07-05 09:20:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
6,2021-07-05 09:21:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
7,2021-07-05 09:22:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
8,2021-07-05 09:23:00,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0
9,2021-07-05 09:24:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
10,2021-07-05 09:25:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
11,2021-07-05 09:26:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
12,2021-07-05 09:27:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
13,2021-07-05 09:28:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
14,2021-07-05 09:29:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
15,2021-07-05 09:30:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
16,2021-07-05 09:31:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
17,2021-07-05 09:32:00,5.4,5.4,5.4,5.4,25,0,5.4,2.65,5.4
18,2021-07-05 09:33:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
19,2021-07-05 09:34:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
20,2021-07-05 09:35:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
21,2021-07-05 09:36:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
22,2021-07-05 09:37:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
23,2021-07-05 09:38:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
24,2021-07-05 09:39:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
25,2021-07-05 09:40:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
26,2021-07-05 09:41:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
27,2021-07-05 09:42:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
28,2021-07-05 09:43:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
29,2021-07-05 09:44:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
30,2021-07-05 09:45:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
31,2021-07-05 09:46:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
32,2021-07-05 09:47:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
33,2021-07-05 09:48:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
34,2021-07-05 09:49:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
35,2021-07-05 09:50:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
36,2021-07-05 09:51:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
37,2021-07-05 09:52:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
38,2021-07-05 09:53:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
39,2021-07-05 09:54:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
40,2021-07-05 09:55:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
41,2021-07-05 09:56:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
42,2021-07-05 09:57:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
43,2021-07-05 09:58:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
44,2021-07-05 09:59:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
45,2021-07-05 10:00:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
46,2021-07-05 10:01:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
47,2021-07-05 10:02:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
48,2021-07-05 10:03:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
49,2021-07-05 10:04:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
50,2021-07-05 10:05:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
51,2021-07-05 10:06:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
52,2021-07-05 10:07:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
53,2021-07-05 10:08:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
54,2021-07-05 10:09:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
55,2021-07-05 10:10:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
56,2021-07-05 10:11:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
57,2021-07-05 10:12:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
58,2021-07-05 10:13:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
59,2021-07-05 10:14:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
60,2021-07-05 10:15:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
61,2021-07-05 10:16:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
62,2021-07-05 10:17:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
63,2021-07-05 10:18:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
64,2021-07-05 10:19:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
65,2021-07-05 10:20:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
66,2021-07-05 10:21:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
67,2021-07-05 10:22:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
68,2021-07-05 10:23:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
69,2021-07-05 10:24:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
70,2021-07-05 10:25:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
71,2021-07-05 10:26:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
72,2021-07-05 10:27:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
73,2021-07-05 10:28:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
74,2021-07-05 10:29:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
75,2021-07-05 10:30:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
76,2021-07-05 10:31:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
77,2021-07-05 10:32:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
78,2021-07-05 10:33:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
79,2021-07-05 10:34:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
80,2021-07-05 10:35:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
81,2021-07-05 10:36:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
82,2021-07-05 10:37:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
83,2021-07-05 10:38:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
84,2021-07-05 10:39:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
85,2021-07-05 10:40:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
86,2021-07-05 10:41:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
87,2021-07-05 10:42:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
88,2021-07-05 10:43:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
89,2021-07-05 10:44:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
90,2021-07-05 10:45:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
91,2021-07-05 10:46:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
92,2021-07-05 10:47:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
93,2021-07-05 10:48:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
94,2021-07-05 10:49:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
95,2021-07-05 10:50:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
96,2021-07-05 10:51:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
97,2021-07-05 10:52:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
98,2021-07-05 10:53:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
99,2021-07-05 10:54:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
100,2021-07-05 10:55:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
101,2021-07-05 10:56:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
102,2021-07-05 10:57:00,5.5,5.5,5.5,5.5,400,25,5.49,2.65,5.5
103,2021-07-05 10:58:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
104,2021-07-05 10:59:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
105,2021-07-05 11:00:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
106,2021-07-05 11:01:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
107,2021-07-05 11:02:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
108,2021-07-05 11:03:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
109,2021-07-05 11:04:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
110,2021-07-05 11:05:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
111,2021-07-05 11:06:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
112,2021-07-05 11:07:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
113,2021-07-05 11:08:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
114,2021-07-05 11:09:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
115,2021-07-05 11:10:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
116,2021-07-05 11:11:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
117,2021-07-05 11:12:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
118,2021-07-05 11:13:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
119,2021-07-05 11:14:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
120,2021-07-05 11:15:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
121,2021-07-05 11:16:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
122,2021-07-05 11:17:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
123,2021-07-05 11:18:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
124,2021-07-05 11:19:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
125,2021-07-05 11:20:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
126,2021-07-05 11:21:00,2.8,2.8,2.75,2.75,1200,425,3.47,2.8,5.15
127,2021-07-05 11:22:00,5.05,5.05,5.05,5.05,100,1225,3.56,2.8,5.05
128,2021-07-05 11:23:00,5.05,5.05,5.05,5.05,100,1225,3.56,2.8,5.05
129,2021-07-05 11:24:00,5.05,5.05,5.05,5.05,100,1225,3.56,2.8,5.05
130,2021-07-05 11:25:00,5.05,5.05,5.05,5.05,100,1225,3.56,2.8,5.05
131,2021-07-05 11:26:00,5.05,5.05,5.05,5.05,100,1225,3.56,2.8,5.05
132,2021-07-05 11:27:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
133,2021-07-05 11:28:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
134,2021-07-05 11:29:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
135,2021-07-05 11:30:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
136,2021-07-05 11:31:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
137,2021-07-05 11:32:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
138,2021-07-05 11:33:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
139,2021-07-05 11:34:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
140,2021-07-05 11:35:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
141,2021-07-05 11:36:00,4.75,4.75,4.75,4.75,75,1325,3.61,3.15,4.7
142,2021-07-05 11:37:00,4.7,4.7,4.7,4.7,50,1400,3.64,3.25,4.7
143,2021-07-05 11:38:00,3.3,3.3,3.3,3.3,25,1400,3.64,3.25,4.7
144,2021-07-05 11:39:00,3.3,3.3,3.3,3.3,25,1400,3.64,3.25,4.7
145,2021-07-05 11:40:00,3.35,3.35,3.35,3.35,100,1425,3.62,3.35,4.65
146,2021-07-05 11:41:00,3.35,3.35,3.35,3.35,100,1425,3.62,3.35,4.65
147,2021-07-05 11:42:00,3.35,3.35,3.35,3.35,100,1425,3.62,3.35,4.65
148,2021-07-05 11:43:00,4.6,4.6,4.6,4.6,25,1325,3.63,3.35,4.5
149,2021-07-05 11:44:00,3.35,3.35,3.35,3.35,75,1325,3.62,2.8,4.5
