name,date,close
Nifty 50,2021-12-17 09:04:46+5:30,17223.45
Nifty 50,2021-12-17 09:04:47+5:30,17222.7
Nifty 50,2021-12-17 09:04:48+5:30,17223.85
Nifty 50,2021-12-17 09:04:49+5:30,17225.7
Nifty 50,2021-12-17 09:04:50+5:30,17226.05
Nifty 50,2021-12-17 09:04:51+5:30,17229.6
Nifty 50,2021-12-17 09:04:52+5:30,17232.2
Nifty 50,2021-12-17 09:04:53+5:30,17232.55
Nifty 50,2021-12-17 09:04:54+5:30,17233.7
Nifty 50,2021-12-17 09:04:55+5:30,17233.6
Nifty 50,2021-12-17 09:04:56+5:30,17233.15
Nifty 50,2021-12-17 09:04:57+5:30,17233.15
Nifty 50,2021-12-17 09:04:58+5:30,17232.0
Nifty 50,2021-12-17 09:04:59+5:30,17232.45
Nifty 50,2021-12-17 09:05:00+5:30,17232.35
Nifty 50,2021-12-17 09:05:01+5:30,17233.1
Nifty 50,2021-12-17 09:05:02+5:30,17232.9
Nifty 50,2021-12-17 09:05:03+5:30,17233.35
Nifty 50,2021-12-17 09:05:04+5:30,17232.55
Nifty 50,2021-12-17 09:05:05+5:30,17233.2
Nifty 50,2021-12-17 09:05:06+5:30,17232.35
Nifty 50,2021-12-17 09:05:07+5:30,17233.05
Nifty 50,2021-12-17 09:05:08+5:30,17233.25
Nifty 50,2021-12-17 09:05:09+5:30,17233.1
Nifty 50,2021-12-17 09:05:10+5:30,17232.75
Nifty 50,2021-12-17 09:05:11+5:30,17233.15
Nifty 50,2021-12-17 09:05:12+5:30,17233.4
Nifty 50,2021-12-17 09:05:13+5:30,17234.05
Nifty 50,2021-12-17 09:05:14+5:30,17233.75
Nifty 50,2021-12-17 09:05:15+5:30,17233.85
Nifty 50,2021-12-17 09:05:16+5:30,17234.25
Nifty 50,2021-12-17 09:05:17+5:30,17237.05
Nifty 50,2021-12-17 09:05:18+5:30,17236.4
Nifty 50,2021-12-17 09:05:19+5:30,17238.15
Nifty 50,2021-12-17 09:05:20+5:30,17237.3
Nifty 50,2021-12-17 09:05:21+5:30,17237.55
Nifty 50,2021-12-17 09:05:22+5:30,17238.8
Nifty 50,2021-12-17 09:05:23+5:30,17238.8
Nifty 50,2021-12-17 09:05:24+5:30,17238.8
