name,date,close
Nifty 50,2021-12-22 09:03:31+5:30,16745.7
Nifty 50,2021-12-22 09:03:32+5:30,16743.7
Nifty 50,2021-12-22 09:03:33+5:30,16731.05
Nifty 50,2021-12-22 09:03:34+5:30,16728.75
Nifty 50,2021-12-22 09:03:35+5:30,16728.2
Nifty 50,2021-12-22 09:03:36+5:30,16729.2
Nifty 50,2021-12-22 09:03:37+5:30,16729.5
Nifty 50,2021-12-22 09:03:38+5:30,16735.55
Nifty 50,2021-12-22 09:03:39+5:30,16735.4
Nifty 50,2021-12-22 09:03:40+5:30,16735.65
Nifty 50,2021-12-22 09:03:41+5:30,16735.65
Nifty 50,2021-12-22 09:03:42+5:30,16735.45
Nifty 50,2021-12-22 09:03:43+5:30,16735.3
Nifty 50,2021-12-22 09:03:44+5:30,16736.25
Nifty 50,2021-12-22 09:03:45+5:30,16736.25
Nifty 50,2021-12-22 09:03:46+5:30,16736.4
Nifty 50,2021-12-22 09:03:47+5:30,16737.35
Nifty 50,2021-12-22 09:03:48+5:30,16737.35
Nifty 50,2021-12-22 09:03:49+5:30,16737.45
Nifty 50,2021-12-22 09:03:50+5:30,16734.55
Nifty 50,2021-12-22 09:03:51+5:30,16735.25
Nifty 50,2021-12-22 09:03:52+5:30,16734.15
Nifty 50,2021-12-22 09:03:53+5:30,16733.5
Nifty 50,2021-12-22 09:03:54+5:30,16734.65
Nifty 50,2021-12-22 09:03:55+5:30,16737.9
Nifty 50,2021-12-22 09:03:56+5:30,16741.15
Nifty 50,2021-12-22 09:03:57+5:30,16743.05
Nifty 50,2021-12-22 09:03:58+5:30,16744.2
Nifty 50,2021-12-22 09:03:59+5:30,16743.95
Nifty 50,2021-12-22 09:04:00+5:30,16744.3
Nifty 50,2021-12-22 09:04:01+5:30,16744.5
Nifty 50,2021-12-22 09:04:02+5:30,16742.5
Nifty 50,2021-12-22 09:04:03+5:30,16750.5
Nifty 50,2021-12-22 09:04:04+5:30,16750.0
Nifty 50,2021-12-22 09:04:05+5:30,16750.1
Nifty 50,2021-12-22 09:04:06+5:30,16756.4
Nifty 50,2021-12-22 09:04:07+5:30,16756.4
Nifty 50,2021-12-22 09:04:08+5:30,16756.4
Nifty 50,2021-12-22 09:04:09+5:30,16756.65
Nifty 50,2021-12-22 09:04:10+5:30,16756.7
Nifty 50,2021-12-22 09:04:11+5:30,16756.7
Nifty 50,2021-12-22 09:04:12+5:30,16757.25
Nifty 50,2021-12-22 09:04:13+5:30,16756.55
Nifty 50,2021-12-22 09:04:14+5:30,16759.2
Nifty 50,2021-12-22 09:04:15+5:30,16759.2
Nifty 50,2021-12-22 09:04:16+5:30,16759.1
Nifty 50,2021-12-22 09:04:17+5:30,16758.7
Nifty 50,2021-12-22 09:04:18+5:30,16753.45
Nifty 50,2021-12-22 09:04:19+5:30,16753.7
Nifty 50,2021-12-22 09:04:20+5:30,16755.1
Nifty 50,2021-12-22 09:04:21+5:30,16754.95
Nifty 50,2021-12-22 09:04:22+5:30,16755.0
Nifty 50,2021-12-22 09:04:23+5:30,16755.0
Nifty 50,2021-12-22 09:04:24+5:30,16739.9
Nifty 50,2021-12-22 09:04:25+5:30,16740.9
Nifty 50,2021-12-22 09:04:26+5:30,16741.4
Nifty 50,2021-12-22 09:04:27+5:30,16740.8
Nifty 50,2021-12-22 09:04:28+5:30,16741.7
Nifty 50,2021-12-22 09:04:29+5:30,16743.05
Nifty 50,2021-12-22 09:04:30+5:30,16741.3
Nifty 50,2021-12-22 09:04:31+5:30,16743.0
Nifty 50,2021-12-22 09:04:32+5:30,16743.0
Nifty 50,2021-12-22 09:04:33+5:30,16744.1
Nifty 50,2021-12-22 09:04:34+5:30,16743.8
Nifty 50,2021-12-22 09:04:35+5:30,16745.5
Nifty 50,2021-12-22 09:04:36+5:30,16744.55
Nifty 50,2021-12-22 09:04:37+5:30,16745.55
Nifty 50,2021-12-22 09:04:38+5:30,16745.45
Nifty 50,2021-12-22 09:04:39+5:30,16748.45
Nifty 50,2021-12-22 09:04:40+5:30,16749.25
Nifty 50,2021-12-22 09:04:41+5:30,16749.3
Nifty 50,2021-12-22 09:04:42+5:30,16748.95
Nifty 50,2021-12-22 09:04:43+5:30,16749.05
Nifty 50,2021-12-22 09:04:44+5:30,16750.5
Nifty 50,2021-12-22 09:04:45+5:30,16755.5
Nifty 50,2021-12-22 09:04:46+5:30,16755.35
Nifty 50,2021-12-22 09:04:47+5:30,16755.45
Nifty 50,2021-12-22 09:04:48+5:30,16752.25
Nifty 50,2021-12-22 09:04:49+5:30,16747.55
Nifty 50,2021-12-22 09:04:50+5:30,16749.8
Nifty 50,2021-12-22 09:04:51+5:30,16749.85
Nifty 50,2021-12-22 09:04:52+5:30,16758.9
Nifty 50,2021-12-22 09:04:53+5:30,16760.45
Nifty 50,2021-12-22 09:04:54+5:30,16760.85
Nifty 50,2021-12-22 09:04:55+5:30,16761.55
Nifty 50,2021-12-22 09:04:56+5:30,16761.6
Nifty 50,2021-12-22 09:04:57+5:30,16761.3
Nifty 50,2021-12-22 09:04:58+5:30,16758.3
Nifty 50,2021-12-22 09:04:59+5:30,16758.8
Nifty 50,2021-12-22 09:05:00+5:30,16758.95
Nifty 50,2021-12-22 09:05:01+5:30,16759.65
Nifty 50,2021-12-22 09:05:02+5:30,16759.65
Nifty 50,2021-12-22 09:05:03+5:30,16761.15
Nifty 50,2021-12-22 09:05:04+5:30,16761.55
Nifty 50,2021-12-22 09:05:05+5:30,16761.75
Nifty 50,2021-12-22 09:05:06+5:30,16762.75
Nifty 50,2021-12-22 09:05:07+5:30,16763.55
Nifty 50,2021-12-22 09:05:08+5:30,16763.4
Nifty 50,2021-12-22 09:05:09+5:30,16764.1
Nifty 50,2021-12-22 09:05:10+5:30,16763.6
Nifty 50,2021-12-22 09:05:11+5:30,16763.6
Nifty 50,2021-12-22 09:05:12+5:30,16759.95
Nifty 50,2021-12-22 09:05:13+5:30,16760.3
Nifty 50,2021-12-22 09:05:14+5:30,16760.8
Nifty 50,2021-12-22 09:05:15+5:30,16760.7
Nifty 50,2021-12-22 09:05:16+5:30,16760.0
Nifty 50,2021-12-22 09:05:17+5:30,16759.7
Nifty 50,2021-12-22 09:05:18+5:30,16753.0
Nifty 50,2021-12-22 09:05:19+5:30,16753.55
Nifty 50,2021-12-22 09:05:20+5:30,16753.75
Nifty 50,2021-12-22 09:05:21+5:30,16751.75
Nifty 50,2021-12-22 09:05:22+5:30,16751.65
Nifty 50,2021-12-22 09:05:23+5:30,16750.9
Nifty 50,2021-12-22 09:05:24+5:30,16750.5
Nifty 50,2021-12-22 09:05:25+5:30,16752.7
Nifty 50,2021-12-22 09:05:26+5:30,16752.75
Nifty 50,2021-12-22 09:05:27+5:30,16752.85
Nifty 50,2021-12-22 09:05:28+5:30,16754.05
Nifty 50,2021-12-22 09:05:29+5:30,16755.0
Nifty 50,2021-12-22 09:05:30+5:30,16756.55
Nifty 50,2021-12-22 09:05:31+5:30,16764.0
Nifty 50,2021-12-22 09:05:32+5:30,16765.05
Nifty 50,2021-12-22 09:05:33+5:30,16765.1
Nifty 50,2021-12-22 09:05:34+5:30,16765.1
Nifty 50,2021-12-22 09:05:35+5:30,16766.05
Nifty 50,2021-12-22 09:05:36+5:30,16765.55
Nifty 50,2021-12-22 09:05:37+5:30,16765.25
Nifty 50,2021-12-22 09:05:38+5:30,16765.25
Nifty 50,2021-12-22 09:05:39+5:30,16765.2
Nifty 50,2021-12-22 09:05:40+5:30,16765.2
Nifty 50,2021-12-22 09:05:41+5:30,16766.0
Nifty 50,2021-12-22 09:05:42+5:30,16765.95
Nifty 50,2021-12-22 09:05:43+5:30,16765.15
Nifty 50,2021-12-22 09:05:44+5:30,16765.1
Nifty 50,2021-12-22 09:05:45+5:30,16853.9
Nifty 50,2021-12-22 09:05:46+5:30,16854.6
Nifty 50,2021-12-22 09:05:47+5:30,16856.2
Nifty 50,2021-12-22 09:05:48+5:30,16851.35
Nifty 50,2021-12-22 09:05:49+5:30,16851.8
Nifty 50,2021-12-22 09:05:50+5:30,16853.35
Nifty 50,2021-12-22 09:05:51+5:30,16853.9
Nifty 50,2021-12-22 09:05:52+5:30,16854.9
Nifty 50,2021-12-22 09:05:53+5:30,16853.9
Nifty 50,2021-12-22 09:05:54+5:30,16854.2
Nifty 50,2021-12-22 09:05:55+5:30,16853.75
Nifty 50,2021-12-22 09:05:56+5:30,16854.4
Nifty 50,2021-12-22 09:05:57+5:30,16856.3
Nifty 50,2021-12-22 09:05:58+5:30,16853.75
Nifty 50,2021-12-22 09:05:59+5:30,16854.2
Nifty 50,2021-12-22 09:06:00+5:30,16847.35
Nifty 50,2021-12-22 09:06:01+5:30,16849.55
Nifty 50,2021-12-22 09:06:02+5:30,16850.3
Nifty 50,2021-12-22 09:06:03+5:30,16851.1
Nifty 50,2021-12-22 09:06:04+5:30,16844.9
Nifty 50,2021-12-22 09:06:05+5:30,16845.1
Nifty 50,2021-12-22 09:06:06+5:30,16844.35
Nifty 50,2021-12-22 09:06:07+5:30,16845.05
Nifty 50,2021-12-22 09:06:08+5:30,16846.2
Nifty 50,2021-12-22 09:06:09+5:30,16859.35
Nifty 50,2021-12-22 09:06:10+5:30,16852.2
Nifty 50,2021-12-22 09:06:11+5:30,16857.9
Nifty 50,2021-12-22 09:06:12+5:30,16854.55
Nifty 50,2021-12-22 09:06:13+5:30,16854.45
Nifty 50,2021-12-22 09:06:14+5:30,16850.8
Nifty 50,2021-12-22 09:06:15+5:30,16851.15
Nifty 50,2021-12-22 09:06:16+5:30,16851.4
Nifty 50,2021-12-22 09:06:17+5:30,16853.5
Nifty 50,2021-12-22 09:06:18+5:30,16853.85
Nifty 50,2021-12-22 09:06:19+5:30,16853.7
Nifty 50,2021-12-22 09:06:20+5:30,16854.1
Nifty 50,2021-12-22 09:06:21+5:30,16854.3
Nifty 50,2021-12-22 09:06:22+5:30,16855.15
Nifty 50,2021-12-22 09:06:23+5:30,16854.35
Nifty 50,2021-12-22 09:06:24+5:30,16855.0
Nifty 50,2021-12-22 09:06:25+5:30,16855.75
Nifty 50,2021-12-22 09:06:26+5:30,16854.75
Nifty 50,2021-12-22 09:06:27+5:30,16852.9
Nifty 50,2021-12-22 09:06:28+5:30,16853.15
Nifty 50,2021-12-22 09:06:29+5:30,16851.9
Nifty 50,2021-12-22 09:06:30+5:30,16862.4
Nifty 50,2021-12-22 09:06:31+5:30,16862.75
Nifty 50,2021-12-22 09:06:32+5:30,16861.65
Nifty 50,2021-12-22 09:06:33+5:30,16860.9
Nifty 50,2021-12-22 09:06:34+5:30,16861.55
Nifty 50,2021-12-22 09:06:35+5:30,16863.0
Nifty 50,2021-12-22 09:06:36+5:30,16861.6
Nifty 50,2021-12-22 09:06:37+5:30,16860.7
Nifty 50,2021-12-22 09:06:38+5:30,16860.85
Nifty 50,2021-12-22 09:06:39+5:30,16862.7
Nifty 50,2021-12-22 09:06:40+5:30,16858.65
Nifty 50,2021-12-22 09:06:41+5:30,16858.15
Nifty 50,2021-12-22 09:06:42+5:30,16850.5
Nifty 50,2021-12-22 09:06:43+5:30,16850.55
Nifty 50,2021-12-22 09:06:44+5:30,16857.7
Nifty 50,2021-12-22 09:06:45+5:30,16857.0
Nifty 50,2021-12-22 09:06:46+5:30,16857.3
Nifty 50,2021-12-22 09:06:47+5:30,16853.7
Nifty 50,2021-12-22 09:06:48+5:30,16853.45
Nifty 50,2021-12-22 09:06:49+5:30,16853.3
Nifty 50,2021-12-22 09:06:50+5:30,16853.9
Nifty 50,2021-12-22 09:06:51+5:30,16854.05
Nifty 50,2021-12-22 09:06:52+5:30,16854.6
Nifty 50,2021-12-22 09:06:53+5:30,16855.3
Nifty 50,2021-12-22 09:06:54+5:30,16854.05
Nifty 50,2021-12-22 09:06:55+5:30,16853.7
Nifty 50,2021-12-22 09:06:56+5:30,16853.25
Nifty 50,2021-12-22 09:06:57+5:30,16853.35
Nifty 50,2021-12-22 09:06:58+5:30,16852.95
Nifty 50,2021-12-22 09:06:59+5:30,16852.85
Nifty 50,2021-12-22 09:07:00+5:30,16853.55
Nifty 50,2021-12-22 09:07:01+5:30,16853.35
Nifty 50,2021-12-22 09:07:02+5:30,16853.0
Nifty 50,2021-12-22 09:07:03+5:30,16853.95
Nifty 50,2021-12-22 09:07:04+5:30,16854.0
Nifty 50,2021-12-22 09:07:05+5:30,16854.45
Nifty 50,2021-12-22 09:07:06+5:30,16854.5
Nifty 50,2021-12-22 09:07:07+5:30,16853.65
Nifty 50,2021-12-22 09:07:08+5:30,16853.5
Nifty 50,2021-12-22 09:07:09+5:30,16853.5
Nifty 50,2021-12-22 09:07:10+5:30,16854.65
Nifty 50,2021-12-22 09:07:11+5:30,16856.15
Nifty 50,2021-12-22 09:07:12+5:30,16857.2
Nifty 50,2021-12-22 09:07:13+5:30,16858.45
Nifty 50,2021-12-22 09:07:14+5:30,16858.35
Nifty 50,2021-12-22 09:07:15+5:30,16857.9
Nifty 50,2021-12-22 09:07:16+5:30,16857.25
Nifty 50,2021-12-22 09:07:17+5:30,16857.75
Nifty 50,2021-12-22 09:07:18+5:30,16858.45
Nifty 50,2021-12-22 09:07:19+5:30,16860.35
Nifty 50,2021-12-22 09:07:20+5:30,16860.4
Nifty 50,2021-12-22 09:07:21+5:30,16861.8
Nifty 50,2021-12-22 09:07:22+5:30,16865.8
Nifty 50,2021-12-22 09:07:23+5:30,16866.65
Nifty 50,2021-12-22 09:07:24+5:30,16866.4
Nifty 50,2021-12-22 09:07:25+5:30,16866.05
Nifty 50,2021-12-22 09:07:26+5:30,16865.5
Nifty 50,2021-12-22 09:07:27+5:30,16865.85
Nifty 50,2021-12-22 09:07:28+5:30,16865.2
Nifty 50,2021-12-22 09:07:29+5:30,16865.2
Nifty 50,2021-12-22 09:07:30+5:30,16865.3
Nifty 50,2021-12-22 09:07:31+5:30,16866.0
Nifty 50,2021-12-22 09:07:32+5:30,16866.75
Nifty 50,2021-12-22 09:07:33+5:30,16866.45
Nifty 50,2021-12-22 09:07:34+5:30,16866.65
Nifty 50,2021-12-22 09:07:35+5:30,16867.45
Nifty 50,2021-12-22 09:07:36+5:30,16867.9
Nifty 50,2021-12-22 09:07:37+5:30,16867.45
Nifty 50,2021-12-22 09:07:38+5:30,16867.45
Nifty 50,2021-12-22 09:07:39+5:30,16867.35
Nifty 50,2021-12-22 09:07:40+5:30,16865.25
Nifty 50,2021-12-22 09:07:41+5:30,16864.85
Nifty 50,2021-12-22 09:07:42+5:30,16865.1
Nifty 50,2021-12-22 09:07:43+5:30,16865.35
Nifty 50,2021-12-22 09:07:44+5:30,16865.55
Nifty 50,2021-12-22 09:07:45+5:30,16865.55
Nifty 50,2021-12-22 09:07:46+5:30,16865.55
Nifty 50,2021-12-22 09:07:47+5:30,16865.55
Nifty 50,2021-12-22 09:07:48+5:30,16865.55
Nifty 50,2021-12-22 09:07:49+5:30,16865.55
Nifty 50,2021-12-22 09:07:50+5:30,16865.55
Nifty 50,2021-12-22 09:07:51+5:30,16865.55
Nifty 50,2021-12-22 09:07:52+5:30,16865.55
Nifty 50,2021-12-22 09:07:53+5:30,16865.55
Nifty 50,2021-12-22 09:07:54+5:30,16865.55
Nifty 50,2021-12-22 09:07:55+5:30,16865.55
Nifty 50,2021-12-22 09:07:56+5:30,16865.55
Nifty 50,2021-12-22 09:07:57+5:30,16865.55
Nifty 50,2021-12-22 09:07:58+5:30,16865.55
